employee_id,medical_plan,dental_plan,vision_plan,retirement_401k,employee_premium,employer_premium
E0500,Basic PPO,Yes,No,Yes,120,350
E0501,Basic PPO,No,Yes,Yes,120,350
E0502,Basic PPO,Yes,No,Yes,120,350
E0503,Basic PPO,No,Yes,Yes,120,350
E0504,Premium PPO,Yes,Yes,Yes,260,750
E0505,Basic PPO,Yes,No,Yes,120,350
E0506,Basic PPO,Yes,Yes,Yes,120,350
E0507,Basic PPO,Yes,Yes,Yes,120,350
E0508,Standard PPO,Yes,Yes,Yes,180,500
E0509,Standard PPO,Yes,Yes,Yes,180,500
E0510,Basic PPO,Yes,No,No,120,350
E0511,Standard PPO,No,No,No,180,500
E0512,Standard PPO,No,Yes,Yes,180,500
E0513,Premium PPO,No,Yes,Yes,260,750
E0514,Basic PPO,Yes,Yes,Yes,120,350
E0515,Premium PPO,Yes,Yes,Yes,260,750
E0516,Standard PPO,Yes,No,No,180,500
E0517,Basic PPO,Yes,Yes,No,120,350
E0518,Basic PPO,No,Yes,Yes,120,350
E0519,HDHP,Yes,No,Yes,90,300
E0520,Premium PPO,Yes,No,Yes,260,750
E0521,Standard PPO,Yes,Yes,Yes,180,500
E0522,Basic PPO,Yes,Yes,No,120,350
E0523,Standard PPO,Yes,Yes,Yes,180,500
E0524,Standard PPO,No,No,No,180,500
E0525,Basic PPO,Yes,Yes,No,120,350
E0526,Premium PPO,Yes,Yes,Yes,260,750
E0527,Premium PPO,Yes,No,Yes,260,750
E0528,HDHP,No,Yes,No,90,300
E0529,Premium PPO,Yes,No,Yes,260,750
E0530,Standard PPO,Yes,Yes,No,180,500
E0531,Standard PPO,Yes,Yes,Yes,180,500
E0532,Standard PPO,Yes,No,Yes,180,500
E0533,Premium PPO,Yes,No,Yes,260,750
E0534,Standard PPO,No,Yes,No,180,500
E0535,Premium PPO,Yes,Yes,No,260,750
E0536,Basic PPO,No,Yes,No,120,350
E0537,Standard PPO,Yes,Yes,No,180,500
E0538,Basic PPO,Yes,Yes,No,120,350
E0539,Standard PPO,Yes,Yes,Yes,180,500
E0540,Basic PPO,Yes,Yes,Yes,120,350
E0541,Basic PPO,Yes,No,No,120,350
E0542,Basic PPO,Yes,Yes,Yes,120,350
E0543,Premium PPO,Yes,Yes,No,260,750
E0544,Basic PPO,Yes,No,No,120,350
E0545,Standard PPO,Yes,Yes,No,180,500
E0546,Standard PPO,Yes,Yes,Yes,180,500
E0547,Premium PPO,Yes,No,Yes,260,750
E0548,Premium PPO,Yes,No,No,260,750
E0549,Standard PPO,Yes,No,Yes,180,500
E0550,Basic PPO,Yes,No,No,120,350
E0551,Standard PPO,Yes,Yes,Yes,180,500
E0552,Standard PPO,Yes,Yes,Yes,180,500
E0553,Standard PPO,Yes,No,Yes,180,500
E0554,Basic PPO,Yes,Yes,No,120,350
E0555,Premium PPO,Yes,Yes,Yes,260,750
E0556,Standard PPO,Yes,Yes,No,180,500
E0557,Premium PPO,No,Yes,Yes,260,750
E0558,Premium PPO,Yes,No,Yes,260,750
E0559,HDHP,Yes,Yes,Yes,90,300
E0560,Basic PPO,No,Yes,No,120,350
E0561,HDHP,No,No,No,90,300
E0562,Basic PPO,No,Yes,Yes,120,350
E0563,Basic PPO,Yes,Yes,Yes,120,350
E0564,Standard PPO,Yes,Yes,Yes,180,500
E0565,Standard PPO,Yes,Yes,No,180,500
E0566,Premium PPO,Yes,Yes,No,260,750
E0567,Standard PPO,No,Yes,No,180,500
E0568,Basic PPO,Yes,No,Yes,120,350
E0569,Standard PPO,Yes,No,No,180,500
E0570,Standard PPO,Yes,No,Yes,180,500
E0571,Premium PPO,Yes,Yes,No,260,750
E0572,Standard PPO,Yes,No,Yes,180,500
E0573,Basic PPO,Yes,Yes,Yes,120,350
E0574,Standard PPO,Yes,No,Yes,180,500
E0575,Standard PPO,Yes,Yes,No,180,500
E0576,Basic PPO,Yes,No,No,120,350
E0577,Basic PPO,Yes,Yes,Yes,120,350
E0578,Standard PPO,Yes,No,Yes,180,500
E0579,Standard PPO,Yes,No,No,180,500
E0580,Standard PPO,Yes,No,No,180,500
E0581,Basic PPO,Yes,Yes,Yes,120,350
E0582,Basic PPO,Yes,Yes,Yes,120,350
E0583,Basic PPO,Yes,No,Yes,120,350
E0584,Standard PPO,Yes,No,No,180,500
E0585,Standard PPO,Yes,Yes,Yes,180,500
E0586,Basic PPO,Yes,Yes,No,120,350
E0587,Premium PPO,Yes,No,Yes,260,750
E0588,Standard PPO,Yes,Yes,Yes,180,500
E0589,HDHP,Yes,Yes,No,90,300
E0590,Premium PPO,Yes,No,Yes,260,750
E0591,Premium PPO,No,Yes,Yes,260,750
E0592,Standard PPO,Yes,Yes,No,180,500
E0593,Premium PPO,Yes,No,Yes,260,750
E0594,Standard PPO,Yes,Yes,No,180,500
E0595,Premium PPO,No,Yes,Yes,260,750
E0596,Standard PPO,Yes,Yes,No,180,500
E0597,Standard PPO,Yes,Yes,No,180,500
E0598,Premium PPO,No,No,Yes,260,750
E0599,HDHP,Yes,Yes,No,90,300
E0600,Standard PPO,Yes,Yes,No,180,500
E0601,Standard PPO,No,No,No,180,500
E0602,Standard PPO,Yes,Yes,Yes,180,500
E0603,Basic PPO,Yes,No,Yes,120,350
E0604,Basic PPO,Yes,Yes,Yes,120,350
E0605,Standard PPO,Yes,Yes,Yes,180,500
E0606,Premium PPO,Yes,No,Yes,260,750
E0607,Basic PPO,Yes,Yes,Yes,120,350
E0608,Standard PPO,Yes,Yes,Yes,180,500
E0609,Standard PPO,No,Yes,Yes,180,500
E0610,Standard PPO,Yes,Yes,No,180,500
E0611,Premium PPO,Yes,Yes,Yes,260,750
E0612,Standard PPO,Yes,Yes,Yes,180,500
E0613,Standard PPO,Yes,No,Yes,180,500
E0614,Standard PPO,No,No,Yes,180,500
E0615,Premium PPO,Yes,Yes,Yes,260,750
E0616,Premium PPO,Yes,Yes,Yes,260,750
E0617,Premium PPO,No,Yes,No,260,750
E0618,Basic PPO,Yes,No,No,120,350
E0619,Premium PPO,Yes,Yes,No,260,750
E0620,Basic PPO,Yes,Yes,Yes,120,350
E0621,Standard PPO,Yes,Yes,Yes,180,500
E0622,Standard PPO,Yes,Yes,No,180,500
E0623,Premium PPO,No,No,No,260,750
E0624,HDHP,Yes,Yes,Yes,90,300
E0625,Premium PPO,No,Yes,Yes,260,750
E0626,Premium PPO,Yes,Yes,Yes,260,750
E0627,Premium PPO,Yes,Yes,No,260,750
E0628,Standard PPO,No,No,Yes,180,500
E0629,HDHP,Yes,Yes,No,90,300
E0630,Premium PPO,Yes,Yes,Yes,260,750
E0631,HDHP,Yes,No,Yes,90,300
E0632,Premium PPO,Yes,Yes,Yes,260,750
E0633,Basic PPO,Yes,No,No,120,350
E0634,Basic PPO,No,Yes,No,120,350
E0635,Premium PPO,No,Yes,No,260,750
E0636,Premium PPO,Yes,No,Yes,260,750
E0637,HDHP,No,Yes,Yes,90,300
E0638,Standard PPO,No,No,No,180,500
E0639,Standard PPO,No,No,No,180,500
E0640,Standard PPO,Yes,Yes,Yes,180,500
E0641,Premium PPO,Yes,Yes,Yes,260,750
E0642,Standard PPO,Yes,Yes,Yes,180,500
E0643,Basic PPO,Yes,Yes,Yes,120,350
E0644,Premium PPO,Yes,Yes,Yes,260,750
E0645,Basic PPO,Yes,Yes,No,120,350
E0646,Basic PPO,Yes,Yes,No,120,350
E0647,Basic PPO,Yes,Yes,Yes,120,350
E0648,Premium PPO,Yes,Yes,Yes,260,750
E0649,Basic PPO,No,Yes,Yes,120,350
E0650,Standard PPO,No,Yes,Yes,180,500
E0651,Premium PPO,No,Yes,Yes,260,750
E0652,HDHP,Yes,Yes,No,90,300
E0653,Standard PPO,Yes,No,Yes,180,500
E0654,Standard PPO,Yes,Yes,Yes,180,500
E0655,Premium PPO,No,Yes,Yes,260,750
E0656,HDHP,Yes,No,No,90,300
E0657,Basic PPO,Yes,Yes,No,120,350
E0658,Standard PPO,Yes,No,Yes,180,500
E0659,Standard PPO,Yes,No,Yes,180,500
E0660,Basic PPO,Yes,Yes,Yes,120,350
E0661,Standard PPO,Yes,Yes,No,180,500
E0662,Basic PPO,Yes,No,Yes,120,350
E0663,Standard PPO,Yes,No,No,180,500
E0664,Basic PPO,Yes,Yes,Yes,120,350
E0665,Basic PPO,Yes,Yes,Yes,120,350
E0666,Standard PPO,Yes,No,Yes,180,500
E0667,Basic PPO,Yes,No,No,120,350
E0668,Basic PPO,Yes,No,Yes,120,350
E0669,Standard PPO,Yes,No,Yes,180,500
E0670,Standard PPO,Yes,Yes,No,180,500
E0671,Standard PPO,No,No,Yes,180,500
E0672,Premium PPO,Yes,Yes,Yes,260,750
E0673,Basic PPO,No,No,Yes,120,350
E0674,Standard PPO,Yes,No,Yes,180,500
E0675,Basic PPO,Yes,Yes,No,120,350
E0676,Basic PPO,Yes,Yes,No,120,350
E0677,Premium PPO,Yes,No,Yes,260,750
E0678,Standard PPO,No,No,Yes,180,500
E0679,HDHP,Yes,Yes,Yes,90,300
E0680,HDHP,Yes,No,Yes,90,300
E0681,Basic PPO,Yes,No,Yes,120,350
E0682,Basic PPO,Yes,Yes,Yes,120,350
E0683,Standard PPO,Yes,Yes,Yes,180,500
E0684,Standard PPO,No,Yes,No,180,500
E0685,Standard PPO,Yes,No,No,180,500
E0686,Standard PPO,Yes,Yes,Yes,180,500
E0687,Premium PPO,No,Yes,Yes,260,750
E0688,Premium PPO,Yes,Yes,Yes,260,750
E0689,Premium PPO,Yes,Yes,Yes,260,750
E0690,Standard PPO,Yes,Yes,Yes,180,500
E0691,Premium PPO,Yes,No,No,260,750
E0692,HDHP,Yes,Yes,Yes,90,300
E0693,Standard PPO,Yes,No,Yes,180,500
E0694,Standard PPO,No,Yes,No,180,500
E0695,Standard PPO,Yes,Yes,Yes,180,500
E0696,Standard PPO,No,Yes,No,180,500
E0697,Basic PPO,Yes,Yes,Yes,120,350
E0698,Premium PPO,No,Yes,No,260,750
E0699,HDHP,Yes,Yes,No,90,300
E0700,HDHP,No,Yes,No,90,300
E0701,Standard PPO,Yes,No,No,180,500
E0702,Standard PPO,Yes,Yes,Yes,180,500
E0703,Premium PPO,No,Yes,No,260,750
E0704,Standard PPO,Yes,Yes,Yes,180,500
E0705,Standard PPO,Yes,Yes,Yes,180,500
E0706,HDHP,Yes,No,Yes,90,300
E0707,Basic PPO,Yes,Yes,Yes,120,350
E0708,Basic PPO,Yes,No,Yes,120,350
E0709,Standard PPO,Yes,Yes,Yes,180,500
E0710,HDHP,Yes,Yes,Yes,90,300
E0711,Standard PPO,Yes,Yes,Yes,180,500
E0712,Standard PPO,No,Yes,Yes,180,500
E0713,Premium PPO,Yes,Yes,No,260,750
E0714,HDHP,Yes,No,Yes,90,300
E0715,Basic PPO,No,No,No,120,350
E0716,Standard PPO,No,Yes,No,180,500
E0717,Basic PPO,Yes,Yes,Yes,120,350
E0718,Premium PPO,Yes,No,No,260,750
E0719,Premium PPO,Yes,No,No,260,750
E0720,Standard PPO,No,Yes,Yes,180,500
E0721,Basic PPO,No,Yes,Yes,120,350
E0722,Standard PPO,Yes,No,No,180,500
E0723,Premium PPO,Yes,Yes,Yes,260,750
E0724,Premium PPO,Yes,No,No,260,750
E0725,Basic PPO,Yes,Yes,Yes,120,350
E0726,Standard PPO,No,No,Yes,180,500
E0727,Standard PPO,Yes,Yes,Yes,180,500
E0728,Premium PPO,No,No,No,260,750
E0729,Standard PPO,No,Yes,No,180,500
E0730,HDHP,No,Yes,Yes,90,300
E0731,Basic PPO,Yes,Yes,Yes,120,350
E0732,Standard PPO,Yes,Yes,Yes,180,500
E0733,Standard PPO,Yes,Yes,Yes,180,500
E0734,Premium PPO,Yes,No,Yes,260,750
E0735,Basic PPO,No,Yes,Yes,120,350
E0736,Standard PPO,Yes,Yes,No,180,500
E0737,HDHP,Yes,Yes,No,90,300
E0738,Standard PPO,No,No,Yes,180,500
E0739,Standard PPO,Yes,No,Yes,180,500
E0740,Premium PPO,Yes,Yes,Yes,260,750
E0741,Standard PPO,Yes,No,Yes,180,500
E0742,Standard PPO,Yes,No,No,180,500
E0743,Standard PPO,Yes,No,Yes,180,500
E0744,Premium PPO,Yes,Yes,Yes,260,750
E0745,HDHP,No,No,Yes,90,300
E0746,Premium PPO,No,Yes,Yes,260,750
E0747,Premium PPO,Yes,Yes,Yes,260,750
E0748,Standard PPO,No,Yes,Yes,180,500
E0749,Premium PPO,Yes,Yes,Yes,260,750
E0750,Standard PPO,Yes,Yes,Yes,180,500
E0751,Basic PPO,Yes,Yes,Yes,120,350
E0752,Premium PPO,No,Yes,Yes,260,750
E0753,Standard PPO,Yes,No,Yes,180,500
E0754,Basic PPO,Yes,Yes,Yes,120,350
E0755,HDHP,Yes,Yes,Yes,90,300
E0756,HDHP,No,Yes,Yes,90,300
E0757,Basic PPO,Yes,Yes,No,120,350
E0758,HDHP,Yes,Yes,No,90,300
E0759,Premium PPO,No,No,Yes,260,750
E0760,Premium PPO,Yes,Yes,Yes,260,750
E0761,Premium PPO,No,Yes,Yes,260,750
E0762,Basic PPO,No,Yes,Yes,120,350
E0763,Standard PPO,Yes,Yes,Yes,180,500
E0764,Premium PPO,Yes,Yes,Yes,260,750
E0765,Standard PPO,Yes,No,Yes,180,500
E0766,Premium PPO,Yes,Yes,No,260,750
E0767,Standard PPO,No,Yes,No,180,500
E0768,Standard PPO,Yes,Yes,Yes,180,500
E0769,Standard PPO,Yes,No,No,180,500
E0770,Premium PPO,Yes,Yes,Yes,260,750
E0771,Standard PPO,Yes,Yes,Yes,180,500
E0772,Basic PPO,No,Yes,Yes,120,350
E0773,HDHP,Yes,Yes,Yes,90,300
E0774,HDHP,No,Yes,No,90,300
E0775,Standard PPO,Yes,No,Yes,180,500
E0776,Standard PPO,Yes,Yes,No,180,500
E0777,Standard PPO,Yes,No,Yes,180,500
E0778,HDHP,Yes,Yes,Yes,90,300
E0779,Standard PPO,Yes,Yes,No,180,500
E0780,Standard PPO,Yes,Yes,Yes,180,500
E0781,Basic PPO,Yes,No,Yes,120,350
E0782,Standard PPO,Yes,Yes,Yes,180,500
E0783,Standard PPO,Yes,Yes,No,180,500
E0784,Standard PPO,Yes,No,Yes,180,500
E0785,HDHP,No,Yes,Yes,90,300
E0786,Basic PPO,Yes,Yes,Yes,120,350
E0787,Basic PPO,No,Yes,No,120,350
E0788,Standard PPO,Yes,No,Yes,180,500
E0789,Premium PPO,No,Yes,Yes,260,750
E0790,Basic PPO,No,No,Yes,120,350
E0791,Standard PPO,Yes,Yes,Yes,180,500
E0792,Basic PPO,Yes,No,Yes,120,350
E0793,Standard PPO,Yes,Yes,Yes,180,500
E0794,Standard PPO,Yes,No,Yes,180,500
E0795,Basic PPO,No,Yes,No,120,350
E0796,HDHP,No,Yes,Yes,90,300
E0797,Premium PPO,Yes,Yes,Yes,260,750
E0798,Standard PPO,No,Yes,Yes,180,500
E0799,Premium PPO,No,No,Yes,260,750
E0800,HDHP,Yes,Yes,Yes,90,300
E0801,Standard PPO,Yes,No,Yes,180,500
E0802,HDHP,Yes,No,No,90,300
E0803,Standard PPO,Yes,No,Yes,180,500
E0804,Basic PPO,No,Yes,Yes,120,350
E0805,Premium PPO,Yes,Yes,Yes,260,750
E0806,Basic PPO,Yes,Yes,Yes,120,350
E0807,HDHP,No,Yes,Yes,90,300
E0808,Premium PPO,Yes,Yes,Yes,260,750
E0809,Standard PPO,No,Yes,Yes,180,500
E0810,HDHP,No,No,Yes,90,300
E0811,Premium PPO,Yes,Yes,Yes,260,750
E0812,Basic PPO,No,Yes,No,120,350
E0813,Standard PPO,Yes,Yes,Yes,180,500
E0814,Standard PPO,No,Yes,Yes,180,500
E0815,Premium PPO,Yes,No,Yes,260,750
E0816,Standard PPO,Yes,Yes,Yes,180,500
E0817,Standard PPO,Yes,Yes,Yes,180,500
E0818,Premium PPO,Yes,Yes,Yes,260,750
E0819,Premium PPO,Yes,No,Yes,260,750
E0820,HDHP,Yes,Yes,Yes,90,300
E0821,HDHP,Yes,No,Yes,90,300
E0822,Basic PPO,Yes,Yes,Yes,120,350
E0823,Basic PPO,Yes,Yes,Yes,120,350
E0824,Standard PPO,Yes,Yes,No,180,500
E0825,Standard PPO,Yes,Yes,No,180,500
E0826,Premium PPO,Yes,Yes,Yes,260,750
E0827,Standard PPO,Yes,Yes,Yes,180,500
E0828,Basic PPO,Yes,Yes,No,120,350
E0829,Basic PPO,Yes,Yes,Yes,120,350
E0830,Premium PPO,No,Yes,No,260,750
E0831,Premium PPO,Yes,No,No,260,750
E0832,Standard PPO,No,No,No,180,500
E0833,Basic PPO,Yes,No,Yes,120,350
E0834,Standard PPO,No,Yes,Yes,180,500
E0835,Standard PPO,Yes,Yes,No,180,500
E0836,Basic PPO,No,No,No,120,350
E0837,Standard PPO,No,No,No,180,500
E0838,Standard PPO,Yes,Yes,Yes,180,500
E0839,Standard PPO,Yes,Yes,No,180,500
E0840,Basic PPO,No,Yes,Yes,120,350
E0841,Standard PPO,Yes,No,No,180,500
E0842,Standard PPO,No,Yes,Yes,180,500
E0843,Standard PPO,Yes,Yes,No,180,500
E0844,Premium PPO,Yes,No,Yes,260,750
E0845,Standard PPO,Yes,Yes,Yes,180,500
E0846,Premium PPO,Yes,No,Yes,260,750
E0847,HDHP,Yes,No,No,90,300
E0848,Standard PPO,Yes,Yes,Yes,180,500
E0849,Basic PPO,No,Yes,Yes,120,350
E0850,Premium PPO,Yes,Yes,Yes,260,750
E0851,Premium PPO,Yes,Yes,Yes,260,750
E0852,Basic PPO,Yes,Yes,Yes,120,350
E0853,Standard PPO,Yes,Yes,Yes,180,500
E0854,Standard PPO,Yes,Yes,Yes,180,500
E0855,Premium PPO,Yes,No,Yes,260,750
E0856,Standard PPO,No,No,Yes,180,500
E0857,Premium PPO,Yes,No,Yes,260,750
E0858,HDHP,Yes,Yes,No,90,300
E0859,Premium PPO,Yes,Yes,No,260,750
E0860,Standard PPO,No,Yes,No,180,500
E0861,HDHP,Yes,No,Yes,90,300
E0862,Standard PPO,Yes,No,Yes,180,500
E0863,Standard PPO,No,Yes,Yes,180,500
E0864,Premium PPO,Yes,Yes,No,260,750
E0865,Standard PPO,Yes,Yes,No,180,500
E0866,Standard PPO,Yes,Yes,No,180,500
E0867,Premium PPO,Yes,No,Yes,260,750
E0868,Basic PPO,Yes,No,Yes,120,350
E0869,Standard PPO,Yes,No,Yes,180,500
E0870,Standard PPO,No,No,Yes,180,500
E0871,Premium PPO,Yes,Yes,Yes,260,750
E0872,Premium PPO,Yes,Yes,No,260,750
E0873,Standard PPO,Yes,Yes,Yes,180,500
E0874,Premium PPO,Yes,No,Yes,260,750
E0875,Basic PPO,Yes,No,No,120,350
E0876,Basic PPO,Yes,Yes,Yes,120,350
E0877,Standard PPO,Yes,Yes,Yes,180,500
E0878,Standard PPO,Yes,Yes,No,180,500
E0879,Premium PPO,No,No,Yes,260,750
E0880,Basic PPO,No,Yes,Yes,120,350
E0881,Basic PPO,Yes,No,Yes,120,350
E0882,Premium PPO,Yes,Yes,Yes,260,750
E0883,Standard PPO,Yes,Yes,Yes,180,500
E0884,Basic PPO,Yes,No,Yes,120,350
E0885,Standard PPO,Yes,Yes,Yes,180,500
E0886,Standard PPO,Yes,Yes,Yes,180,500
E0887,Standard PPO,Yes,No,Yes,180,500
E0888,Basic PPO,Yes,Yes,Yes,120,350
E0889,Basic PPO,No,No,Yes,120,350
E0890,Premium PPO,Yes,Yes,No,260,750
E0891,Basic PPO,No,No,No,120,350
E0892,Standard PPO,Yes,Yes,Yes,180,500
E0893,Basic PPO,Yes,No,Yes,120,350
E0894,Basic PPO,Yes,Yes,No,120,350
E0895,Basic PPO,Yes,No,Yes,120,350
E0896,Premium PPO,Yes,Yes,No,260,750
E0897,Standard PPO,Yes,Yes,Yes,180,500
E0898,Basic PPO,Yes,Yes,Yes,120,350
E0899,HDHP,Yes,No,Yes,90,300
E0900,Premium PPO,Yes,No,No,260,750
E0901,Standard PPO,Yes,Yes,No,180,500
E0902,Standard PPO,Yes,Yes,No,180,500
E0903,Standard PPO,Yes,Yes,No,180,500
E0904,Premium PPO,Yes,Yes,Yes,260,750
E0905,Standard PPO,No,Yes,Yes,180,500
E0906,Basic PPO,Yes,Yes,No,120,350
E0907,Premium PPO,Yes,Yes,Yes,260,750
E0908,Premium PPO,No,Yes,No,260,750
E0909,Basic PPO,Yes,No,Yes,120,350
E0910,Basic PPO,Yes,Yes,Yes,120,350
E0911,Premium PPO,Yes,No,Yes,260,750
E0912,Basic PPO,No,Yes,Yes,120,350
E0913,Basic PPO,Yes,No,Yes,120,350
E0914,Standard PPO,No,No,Yes,180,500
E0915,HDHP,Yes,No,No,90,300
E0916,Standard PPO,Yes,Yes,Yes,180,500
E0917,Basic PPO,Yes,No,Yes,120,350
E0918,Premium PPO,Yes,No,Yes,260,750
E0919,Basic PPO,Yes,No,No,120,350
E0920,HDHP,Yes,No,Yes,90,300
E0921,Basic PPO,Yes,No,No,120,350
E0922,Standard PPO,Yes,Yes,No,180,500
E0923,Basic PPO,No,Yes,No,120,350
E0924,Premium PPO,Yes,Yes,No,260,750
E0925,Standard PPO,Yes,Yes,Yes,180,500
E0926,Premium PPO,No,No,Yes,260,750
E0927,Standard PPO,Yes,Yes,Yes,180,500
E0928,HDHP,Yes,Yes,No,90,300
E0929,HDHP,No,No,Yes,90,300
E0930,HDHP,No,Yes,No,90,300
E0931,Standard PPO,No,Yes,Yes,180,500
E0932,Standard PPO,No,Yes,No,180,500
E0933,Basic PPO,No,Yes,No,120,350
E0934,Standard PPO,No,Yes,No,180,500
E0935,Standard PPO,No,No,Yes,180,500
E0936,Standard PPO,Yes,Yes,Yes,180,500
E0937,Premium PPO,Yes,No,Yes,260,750
E0938,Standard PPO,Yes,No,Yes,180,500
E0939,Premium PPO,No,Yes,Yes,260,750
E0940,Basic PPO,Yes,No,Yes,120,350
E0941,Basic PPO,Yes,No,Yes,120,350
E0942,Standard PPO,Yes,Yes,Yes,180,500
E0943,Premium PPO,Yes,Yes,No,260,750
E0944,Standard PPO,Yes,Yes,Yes,180,500
E0945,Basic PPO,No,No,Yes,120,350
E0946,Premium PPO,Yes,Yes,Yes,260,750
E0947,Basic PPO,Yes,No,Yes,120,350
E0948,Standard PPO,No,Yes,Yes,180,500
E0949,HDHP,Yes,Yes,Yes,90,300
E0950,Standard PPO,Yes,Yes,Yes,180,500
E0951,Premium PPO,No,Yes,Yes,260,750
E0952,Premium PPO,Yes,No,Yes,260,750
E0953,Basic PPO,Yes,No,Yes,120,350
E0954,Basic PPO,Yes,Yes,Yes,120,350
E0955,Premium PPO,Yes,Yes,Yes,260,750
E0956,Standard PPO,No,Yes,No,180,500
E0957,Premium PPO,Yes,Yes,Yes,260,750
E0958,Premium PPO,Yes,Yes,No,260,750
E0959,Standard PPO,Yes,Yes,Yes,180,500
E0960,Standard PPO,Yes,No,Yes,180,500
E0961,Premium PPO,No,Yes,No,260,750
E0962,HDHP,Yes,Yes,No,90,300
E0963,Premium PPO,Yes,Yes,No,260,750
E0964,Basic PPO,No,No,Yes,120,350
E0965,Premium PPO,Yes,Yes,No,260,750
E0966,Basic PPO,Yes,No,Yes,120,350
E0967,Premium PPO,No,Yes,Yes,260,750
E0968,Basic PPO,No,Yes,Yes,120,350
E0969,Basic PPO,No,Yes,Yes,120,350
E0970,Standard PPO,No,Yes,No,180,500
E0971,Basic PPO,Yes,Yes,Yes,120,350
E0972,Standard PPO,Yes,Yes,No,180,500
E0973,HDHP,Yes,Yes,Yes,90,300
E0974,Premium PPO,Yes,Yes,Yes,260,750
E0975,Premium PPO,Yes,Yes,Yes,260,750
E0976,Premium PPO,Yes,Yes,Yes,260,750
E0977,Standard PPO,Yes,Yes,Yes,180,500
E0978,Standard PPO,Yes,No,Yes,180,500
E0979,Standard PPO,Yes,Yes,Yes,180,500
E0980,Premium PPO,Yes,Yes,Yes,260,750
E0981,Basic PPO,Yes,No,Yes,120,350
E0982,Standard PPO,Yes,Yes,Yes,180,500
E0983,Basic PPO,No,No,No,120,350
E0984,HDHP,Yes,No,Yes,90,300
E0985,Basic PPO,No,Yes,Yes,120,350
E0986,Premium PPO,Yes,Yes,Yes,260,750
E0987,Premium PPO,No,Yes,Yes,260,750
E0988,Standard PPO,Yes,Yes,Yes,180,500
E0989,Standard PPO,No,No,No,180,500
E0990,Basic PPO,No,No,No,120,350
E0991,Premium PPO,Yes,Yes,No,260,750
E0992,Basic PPO,Yes,Yes,No,120,350
E0993,Premium PPO,Yes,Yes,Yes,260,750
E0994,Premium PPO,Yes,Yes,Yes,260,750
E0995,HDHP,Yes,No,Yes,90,300
E0996,Standard PPO,Yes,Yes,Yes,180,500
E0997,Premium PPO,Yes,No,Yes,260,750
E0998,Premium PPO,Yes,Yes,No,260,750
E0999,Basic PPO,Yes,Yes,No,120,350
E1000,Standard PPO,Yes,Yes,Yes,180,500
